	faith_pd
10317.000006661.2905	10.244310000000002
10317.000036468.25853	6.455070000000001
10317.000047788.31503	10.995499999999998
10317.000097265.54638	7.434859999999999
10317.000013024.2932	7.355040000000002
10317.000010920.2932	12.68866
10317.000046267.26481	13.334760000000001
10317.000004009.2948	14.28784
10317.000005845.2905	16.73933
10317.000102661.62401	6.67787
10317.000058423.25498	9.42708
10317.000009449.2907	15.840019999999999
10317.000011116.2932	20.138840000000002
10317.000087016.45578	6.31199
10317.000004616.2946	12.408219999999998
10317.000047037.4033	16.09132
10317.000029222.2982	16.76588
10317.000100394.54638	15.182679999999998
10317.000072251.50470	16.38896
10317.000004283.2909	7.698720000000002
10317.000046702.4033	12.9808
10317.000089498.48742	14.508069999999998
10317.000043210.4016	13.45262
10317.000002646.2907	6.5813299999999995
10317.000009241.2909	9.793949999999999
10317.000009114.2907	15.509279999999999
10317.000039674.25862	15.864519999999997
10317.000020512.2988	15.15366
10317.000036953.3099	12.97977
10317.000022272.25370	16.82484
10317.000075991.51570	14.034740000000003
10317.000058351.25862	16.84264
10317.000032929.3516	17.25695
10317.000042645.25501	17.09385
10317.000004612.2946	16.543739999999996
10317.000001956.2248	18.437440000000002
10317.000029287.2982	13.995869999999998
10317.000089700.53379	22.46637
10317.000101000.56079	12.561310000000002
10317.000014107.2911	11.927850000000001
10317.000026422.3022	13.159579999999998
10317.000031845.4491	19.19534
10317.000048383.26484	10.061729999999999
10317.000023700.30606	18.60026
10317.000006100.2905	9.79224
10317.000033260.4491	13.1318
10317.000017288.2921	14.71762
10317.000076455.48742	18.264700000000005
10317.000029468.7852	15.94682
10317.000042650.4016	18.32572
10317.000026128.3099	20.36006
10317.000023677.3099	14.71672
10317.000016433.2921	18.17463
10317.000003476.2946	10.00264
10317.000072606.48742	15.994720000000001
10317.000004642.2946	10.58123
10317.000039547.25853	17.384430000000002
10317.000094746.56079	19.42783
10317.000032898.3099	17.850750000000005
10317.000051988.26481	5.744119999999999
10317.000014121.2913	13.26588
10317.000073902.33800	10.468129999999999
10317.000078775.42299	14.794589999999998
10317.000002563.2948	9.80847
10317.000046658.4033	15.993799999999998
10317.000020523.2988	17.777659999999997
10317.000067746.26479	13.217160000000002
10317.000059110.25498	11.298829999999999
10317.000087270.48742	13.08756
10317.000001284.2948	16.06136
10317.000017328.2923	13.54005
10317.000005023.3018	5.742260000000001
10317.000028621.3022	16.17905
10317.000102623.56187	12.62416
10317.000074750.41931	14.2302
10317.000038338.26484	18.49227
10317.000067591.26479	9.20359
10317.000013120.2911	12.456019999999999
10317.000003731.2907	15.594120000000002
10317.000043122.26484	23.329530000000002
10317.000050551.46739	16.64818
10317.000002564.2948	14.03653
10317.000012954.2913	8.84231
10317.000074646.42299	10.502120000000001
10317.000089692.53379	14.802179999999998
10317.000014792.2926	16.233030000000003
10317.000001713.2948	14.876830000000002
10317.000039605.25862	16.362609999999997
10317.000014495.2913	21.05287
10317.000074571.54638	7.380109999999998
10317.000013281.2917	17.086619999999996
10317.000012072.2919	13.217659999999999
10317.000072620.48742	14.86596
10317.000065824.25498	18.08861
10317.000023727.25370	4.88796
10317.000016261.2921	21.954400000000003
10317.000065697.25853	13.36197
10317.000031205.3099	12.171220000000002
10317.000001500.2946	14.98827
10317.000051202.4583	11.277999999999999
10317.000017220.2921	18.79748
10317.000076700.51570	14.975530000000001
10317.000022291.3020	14.302059999999999
10317.000022626.3018	13.887279999999999
10317.000010880.2909	22.700760000000002
10317.000070643.48742	10.667959999999997
10317.000102707.62401	18.05134
10317.000004889.3098	4.940099999999999
10317.000029528.3022	19.76793
10317.000012840.32954	8.422369999999997
10317.000029421.2982	17.6022
10317.000013554.2911	9.49906
10317.000009606.2907	11.718110000000001
10317.000052369.7852	15.359820000000001
10317.000022342.2988	17.676070000000003
10317.000063565.50470	8.8088
10317.000060009.31503	19.781760000000002
10317.000023630.26478	15.052999999999997
10317.000023610.26478	9.054
10317.000002443.2948	23.714190000000002
10317.000038328.26484	20.92915
10317.000015013.2913	16.44933
10317.000007475.32954	17.016599999999997
10317.000027371.2982	16.7272
10317.000012823.26483	13.067419999999998
10317.000027307.3020	9.980680000000001
10317.000007853.2926	8.32943
10317.000047487.26478	5.0705
10317.000033800.2982	16.072470000000003
10317.000039622.25853	17.56715
10317.000021256.3098	20.35071
10317.000004815.2909	11.66476
10317.000068697.45578	16.73069
10317.000007612.32954	8.59551
10317.000039714.26478	25.363079999999997
10317.000007221.26483	9.64698
10317.000047278.53347	21.437200000000004
10317.000007264.26485	6.300529999999999
10317.000036855.3099	18.59681
10317.000074306.42298	12.38396
10317.000022606.3018	11.572950000000002
10317.000082745.48742	11.869629999999999
10317.000038475.26531	2.53968
10317.000083035.48742	7.4506
10317.000020539.2988	16.91033
10317.000089359.62401	16.347209999999997
10317.000036394.3099	16.835440000000002
10317.000010189.2932	20.21217
10317.000068950.41931	19.83541
10317.000036417.3099	12.614450000000001
10317.000092721.53379	14.37974
10317.000068720.53379	12.85254
10317.000049996.4491	17.74217
10317.000013147.2913	20.065419999999996
10317.000068674.42298	7.06912
10317.000007372.26485	31.482329999999997
10317.000042675.26478	15.060629999999998
10317.000072138.33800	14.353379999999996
10317.000027352.3020	13.45547
10317.000090010.51570	18.603479999999998
10317.000069660.26478	11.533339999999999
10317.000020540.3098	15.826319999999999
10317.000011329.2932	14.14004
10317.000017214.3018	17.2554
10317.000066886.42298	9.116389999999999
10317.000020397.2988	16.100620000000003
10317.000032829.25501	8.0731
10317.000014875.2988	14.910349999999998
10317.000015183.2919	10.627360000000001
10317.000011234.3099	11.884490000000001
10317.000009022.2907	15.48162
10317.000009139.2905	15.020850000000001
10317.000015308.4016	18.1027
10317.000002958.2905	14.61471
10317.000097633.54638	12.206220000000002
10317.000036489.3099	15.18111
10317.000060273.41931	15.106489999999999
10317.000029612.2982	15.723479999999999
10317.000073262.31503	19.549290000000003
10317.000092700.54638	19.118309999999997
10317.000060021.25370	18.47963
10317.000003235.2988	13.88691
10317.000039553.25853	12.463610000000001
10317.000066695.50470	10.50435
10317.000093101.52698	14.90646
10317.000002372.2948	15.57338
10317.000014970.3018	13.44171
10317.000069206.30606	10.023900000000001
10317.000072546.31503	12.751839999999998
10317.000067869.26479	13.47324
10317.000087285.48742	16.58469
10317.000062071.25501	9.78739
10317.000010247.2988	21.2588
10317.000023657.4016	7.8352900000000005
10317.000001684.2946	11.984010000000001
10317.000065676.26478	7.7979
10317.000022551.3018	20.69941
10317.000038278.32981	16.79222
10317.000039695.25853	5.55681
10317.000023213.3018	14.95274
10317.000066521.30606	5.65544
10317.000059996.33800	14.63632
10317.000039762.33800	12.157639999999999
10317.000052064.4583	13.358209999999996
10317.000007811.2907	4.747039999999999
10317.000033134.4016	22.46105
10317.000071928.30606	12.69591
10317.000079806.48742	8.33777
10317.000009150.2907	12.668859999999999
10317.000054099.7852	14.570689999999999
10317.000031581.2982	11.813430000000002
10317.000068074.26479	13.29561
10317.000058525.25498	16.444979999999997
10317.000020628.3020	18.730159999999998
10317.000021316.26531	11.05397
10317.000048354.25501	4.22415
10317.000049774.4583	13.22397
10317.000002886.2948	15.2473
10317.000053335.25370	12.342679999999998
10317.000022430.3022	6.91552
10317.000003491.2988	17.41569
10317.000007044.2907	18.85148
10317.000076313.54638	12.832799999999997
10317.000103657.62401	12.525749999999999
10317.000014224.2917	21.507089999999998
10317.000016273.2921	15.33952
10317.000023560.4016	18.771060000000002
10317.000027363.3022	17.33719
10317.000035441.26484	21.27479
10317.000070652.41931	13.291099999999998
10317.000072144.31503	14.79919
10317.000071388.26478	15.72997
10317.000050520.46739	8.143199999999998
10317.000072022.50470	12.98579
10317.000059853.25853	9.889669999999999
10317.000014897.2917	5.9302600000000005
10317.000102683.62401	12.68394
10317.000018405.3022	14.31247
10317.000033476.4016	5.518749999999999
10317.000030317.2982	10.800660000000002
10317.000058636.30606	8.078510000000001
10317.000017653.2923	15.44207
10317.000030761.4016	16.504730000000002
10317.000041952.3516	11.83151
10317.000002208.2946	14.87263
10317.000046620.4033	7.570469999999999
10317.000004749.2911	17.18993
10317.000067719.26479	13.731929999999998
10317.000058484.50470	13.08954
10317.000039940.26478	20.69133
10317.000020411.3018	15.017700000000001
10317.000058902.42299	20.533889999999996
10317.000053410.7852	20.880300000000002
10317.000040324.26484	14.25486
10317.000013342.2911	19.087429999999998
10317.000001965.2905	13.983340000000002
10317.000062984.25862	3.31152
10317.000007406.26483	7.412810000000001
10317.000006042.2905	21.44214
